date,open,high,low,close,price difference(後天-前天),12month,收盤價一年總平均,BTC_Transactions,每日量差(後天-前天),交易量一年總平均,厭惡0,生氣0,恐懼0,悲傷0,驚喜0,開心0,厭惡1,生氣1,恐懼1,悲傷1,驚喜1,快樂1,厭惡2,生氣2,恐懼2,悲傷2,驚喜2,快樂2,厭惡3,生氣3,恐懼3,悲傷3,驚喜3,快樂3,厭惡4,生氣4,恐懼4,悲傷4,驚喜4,快樂4,厭惡5,生氣5,恐懼5,悲傷5,驚喜5,快樂5,厭惡6,生氣6,恐懼6,悲傷6,驚喜6,快樂6,厭惡7,生氣7,恐懼7,悲傷7,驚喜7,快樂7,厭惡8,生氣8,恐懼8,悲傷8,驚喜8,快樂8,厭惡9,生氣9,恐懼9,悲傷9,驚喜9,快樂9,厭惡10,生氣10,恐懼10,悲傷10,驚喜10,快樂10,厭惡11,生氣11,恐懼11,悲傷11,驚喜11,快樂11,厭惡12,生氣12,恐懼12,悲傷12,驚喜12,快樂12,厭惡13,生氣13,恐懼13,悲傷13,驚喜13,快樂13,厭惡14,生氣14,恐懼14,悲傷14,驚喜14,快樂14,close_MA5,close_MA10,close_MA20,close_MA50,close_MA60,close_MA120,close_MA240,volume_MA5,volume_MA10,volume_MA20,volume_MA50,volume_MA60,volume_MA120,volume_MA240,close_EMA50,close_EMA100,close_EMA200,MACD,baseline,bar,Rolling Mean,Bollinger High,Bollinger Low,close_MA3,volume_MA3
2022-01-11,41842.22,43144.74,41284.11,42736.0,890.58,17588.86667,,277540,10939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41936.732,43582.717000000004,,,,,,246632.0,247567.5,,,,,,46330.33108058576,46999.13122390592,47373.50463648535,-1531.6989652272387,0,-471.86458275742393,,,,42152.409999999996,251381.0
2022-01-12,42754.44,44337.26,42471.17,43933.5,1197.5,16941.90323,,271794,-5746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42416.3,43241.045,,,,,,249942.6,255076.2,,,,,,46236.33770487652,46938.4256551157,47339.27573462978,-1407.6165122754537,0,-278.22570384451114,,,,42838.306666666664,271978.3333333333
2022-01-13,43935.01,44456.34,42321.0,42571.94,-1361.56,,,274336,2542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42592.534,42854.25,,,,,,260054.6,259044.5,,,,,,46092.63583409705,46851.960592638156,47291.839558165804,-1402.9741743528284,0,-218.86669273750863,,,,43080.48,274556.6666666667
2022-01-14,42579.44,43468.95,41782.21,43102.35,530.41,,,270723,-3613.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,42837.842,42582.485,,,,,,272198.8,258677.1,,,,,,45975.369722955984,46777.71087793245,47250.15309490048,-1341.0367965005935,0,-125.54345190821891,,,,43202.59666666667,272284.3333333333
2022-01-15,43085.76,43826.8,42387.86,43102.01,-0.34,,,234207,-36516.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43089.159999999996,42549.106,,,,,,265720.0,254897.3,,,,,,45862.68894950674,46704.924721933785,47208.878039229836,-1277.255012753114,0,-49.409334528591444,,,,42925.433333333334,259755.33333333334
2022-01-16,43084.77,43495.59,42615.0,43107.7,5.69,,,215976,-18231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43163.5,42550.116,,,,,,253407.2,250019.6,,,,,,45754.65016717314,46633.69254922223,47168.07029754596,-1212.2740139452144,0,12.457331423446703,,,,43104.02,240302.0
2022-01-17,43099.08,43209.47,41581.0,42255.07,-852.63,,,257980,42004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42827.814,42622.05699999999,,,,,,250644.4,250293.5,,,,,,45617.411729244785,46546.98715220793,47119.184722446,-1215.5639548912222,0,7.333912381950995,,,,42821.59333333333,236054.33333333334
2022-01-18,42230.09,42685.25,41290.06,42377.4,122.33,,,264921,6941.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,42788.906,42690.72,,,,,,248761.4,254408.0,,,,,,45490.352445745,46464.42106998598,47072.00278490923,-1194.530444750446,0,22.693938018182052,,,,42580.056666666664,246292.33333333334
2022-01-19,42378.23,42589.9,41145.23,41683.21,-694.19,,,270161,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42505.077999999994,42671.46000000001,,,,,,248649.0,260423.9,,,,,,45341.052741990294,46369.74362305557,47018.38295620367,-1219.8152964093679,0,-2.072730912591851,,,,42105.22666666666,264354.0
2022-01-20,41733.21,43518.69,40554.14,40736.05,-947.16,,,271096,935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42031.886000000006,42560.523,43323.691,,,,,256026.8,260873.4,249676.55,,,,,45160.46439916715,46258.18533349011,46955.87218052005,-1301.281259430929,0,-66.83095514732236,43323.691,47298.648229719714,39348.73377028028,41598.886666666665,268726.0
2022-01-21,40654.72,41115.58,35423.0,36495.46,-4240.59,,,272214,1118.0,,4.0,6.0,2.0,3.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8.0,0.0,9.0,0.0,0.0,0.0,40709.438,41936.469,42759.593,,,,,267274.4,260340.8,253954.15,,,,,44820.660305082165,46064.86403975763,46851.7884772313,-1688.5591363346539,0,-363.2870656408377,42759.593,47242.92491787724,38276.261082122764,39638.24,271157.0
2022-01-22,36447.37,36825.98,34000.0,35091.11,-1404.35,,,250160,-22054.0,,8.0,9.0,1.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,39276.64599999999,41052.229999999996,42146.6375,,,,,265710.4,258177.4,256626.8,,,,,44439.109312726,45847.56197956441,46734.76680084094,-2084.767055432043,0,-607.5959877905814,42146.6375,47290.74492145293,37002.53007854706,37440.87333333334,264490.0
2022-01-23,35084.79,36574.47,34624.59,36293.62,1202.51,,,203845,-46315.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,38059.89,40424.398,41639.324,,,,,253495.2,251128.3,255086.4,,,,,44119.678359285776,45658.37500967205,46630.874792872375,-2275.501612497719,0,-638.664435885006,41639.324,46997.48948745987,36281.15851254013,35960.06333333333,242073.0
2022-01-24,36262.21,38050.0,32950.72,36724.99,431.37,,,270562,66717.0,,2.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,37068.246,39786.662,41184.5735,,,,,253575.4,251112.2,254894.65,,,,,43829.690580490256,45481.47629660923,46532.30877503285,-2364.594594671711,0,-582.2059344471984,41184.5735,46592.343136732794,35776.8038632672,36036.573333333334,241522.33333333334
2022-01-25,36721.59,37552.3,35722.43,36975.91,250.92,,,264976,-5586.0,,2.0,1.0,1.0,1.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,36316.218,39174.052,40861.579000000005,,,,,252351.4,254189.1,254543.2,,,,,43560.91487145142,45313.04924123083,46437.220230007646,-2387.433431478443,0,-484.0358170031441,40861.579000000005,46471.10450522073,35252.053494779284,36664.840000000004,246461.0
2022-01-26,37006.76,38946.0,36279.21,36829.32,-146.59,,,260940,-4036.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,36382.990000000005,38546.214,40548.16499999999,,,,,250096.6,258685.5,254352.55,,,,,43296.93075884549,45145.05460279062,46341.61923269414,-2389.81367762071,0,-389.132850516329,40548.16499999999,46329.476887050114,34766.85311294987,36843.40666666667,265492.6666666667
2022-01-27,36824.02,37251.0,35511.32,37208.36,379.04,,,255794,-5146.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36806.44,38041.543000000005,40331.8,,,,,251223.4,258466.9,254380.2,,,,,43058.163278106455,44987.892333428426,46250.7410313738,-2334.2073898105737,0,-266.82125016495365,40331.8,46279.02082270186,34384.57917729815,37004.53,260570.0
2022-01-28,37179.62,38022.11,36173.98,37748.36,540.0,,,264455,8661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37097.388,37578.639,40134.6795,,,,,263345.4,258420.3,256414.15,,,,,42849.93569857287,44844.535257518946,46166.140225091476,-2220.96363281049,0,-122.86199453189602,40134.6795,46153.16071484225,34116.19828515775,37262.013333333336,260396.33333333334
2022-01-29,37713.14,38741.67,37327.79,38192.65,444.29,,,230889,-33566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37390.92,37229.583,39950.521499999995,,,,,255410.8,254493.1,257458.5,,,,,42667.297043726874,44712.814757370055,46086.80201389654,-2071.487827379533,0,21.291048719248465,39950.521499999995,45970.08104701448,33930.96195298551,37716.456666666665,250379.33333333334
2022-01-30,38176.45,38378.88,37372.59,37941.82,-250.83,,,207027,-23862.0,,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,37584.102,36950.159999999996,39755.3415,,,,,243821.0,248086.2,254479.8,,,,,42481.984218482685,44578.73565326372,46005.75741674334,-1950.7796854905537,0,113.59935248658212,39755.3415,45769.343550619305,33741.3394493807,37960.943333333336,234123.66666666666
2022-01-31,37914.1,38776.33,36631.66,38491.92,550.1,,,263267,56240.0,,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37916.621999999996,37149.806000000004,39543.1375,,,,,244286.4,247191.5,253766.15,,,,,42325.51111187552,44458.20465022879,45930.99286533296,-1790.0940508426065,0,219.4279897076235,39543.1375,45412.06273468036,33674.212265319635,38208.79666666666,233727.66666666666
2022-02-01,38483.56,39285.0,38033.78,38733.04,241.12,,,272830,9563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38221.558000000005,37513.998999999996,39283.1145,,,,,247693.6,249458.5,253817.95,,,,,42184.629891801975,44344.83505319456,45859.371443787364,-1624.56617126552,0,307.964695427768,39283.1145,44782.18776290517,33784.04123709484,38388.926666666666,247708.0
2022-02-02,38768.08,38883.96,36618.36,36923.5,-1809.54,,,278832,6002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38056.585999999996,37576.987,39000.6925,,,,,250569.0,256957.2,254042.75,,,,,41978.31107251562,44197.877923428336,45770.45730006809,-1620.7162807562272,0,249.45166874964866,39000.6925,44367.16239259817,33634.222607401825,38049.486666666664,271643.0
2022-02-03,36924.5,37391.74,36264.55,37320.11,396.61,,,265197,-13635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37882.078,37636.498999999996,38711.5805,,,,,257430.6,256420.7,253766.45,,,,,41795.63652065227,44061.68449920203,45686.374242355974,-1567.5918790095602,0,242.0608563970527,38711.5805,43761.318254209924,33661.84274579007,37658.88333333334,272286.3333333333
2022-02-04,37330.75,41760.39,37064.28,41579.57,4259.46,,,247816,-17381.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,38609.628,38096.865,38635.4585,,,,,265588.4,254704.7,254446.9,,,,,41787.16332376395,44012.53371703961,45645.51051855144,-1168.3199189059378,0,513.0662532005404,38635.4585,43446.80245240976,33824.114547590245,38607.72666666666,263948.3333333333
2022-02-05,41608.82,41983.12,40975.0,41427.72,-151.85,,,258527,10711.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,39196.788,38556.705,38551.459500000004,,,,,264640.4,254463.4,256574.45,,,,,41773.06750714575,43961.34928699922,45603.542453690236,-854.2992103471915,0,661.6695694074294,38551.459500000004,43084.67165486657,34018.24734513344,40109.13333333333,257180.0
2022-02-06,41422.7,42701.86,41141.81,42420.24,992.52,,,219040,-39487.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,39934.228,39077.893,38559.718,,,,,253882.4,250788.0,254627.45,,,,,41798.446820591016,43930.83227141507,45571.86780240974,-519.360601529399,0,797.2865425801776,38559.718,43121.84877779088,33997.58722220912,41809.176666666666,241794.33333333334
2022-02-07,42420.24,44524.18,41682.11,43869.04,1448.8,,,261898,42858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41323.335999999996,39689.960999999996,38634.3,,,,,250495.6,250532.3,254476.3,,,,,41879.646553116865,43929.60866208012,45554.92424218676,-135.45188406213856,0,944.9562080379503,38634.3,43498.01920960639,33770.580790393615,42572.333333333336,246488.33333333334
2022-02-08,43895.6,45501.0,42701.19,44091.56,222.52,,,276696,14798.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42677.626000000004,40279.852,38754.7175,,,,,252795.4,255113.0,254803.05,,,,,41966.3882569162,43932.81561926666,45540.36340395605,184.62579354397894,0,1012.0271085152542,38754.7175,44037.474129786395,33471.9608702136,43460.28,252544.66666666666
